airbnbhostid,airbnbpropertyid,city,superhost_period_all,hostresponseaverage_pastyear,available_days,available_days_avelistedprice,booked_days,booked_days_aveprice,listingtype,createddate,zipcode,bedrooms,bathrooms,instantbookenabled,numberofreviews,ratingoverall,revenue,reservations,host_is_superhost_1_0
68275137,14744384,Houston,10,100.0,179,50.0,51,50.0,Private room,2016-08-25,77008,1,1.0,0,45,100,2550.0,14,1.0
128899070,18566673,New York,11,95.42857,230,70.0,6,70.0,Private room,2017-05-03,10035,1,4.0,1,16,90,420.0,2,0.0
44933618,8534476,Los Angeles,7,91.65625,196,146.61733999999998,37,135.10811,Entire home/apt,2015-09-22,90024,0,1.0,0,49,94,4999.0,11,0.0
84567031,14075038,Chicago,9,99.454544,203,108.00493,12,104.166664,Entire home/apt,2016-07-18,60651,2,1.0,0,17,100,1250.0,3,1.0
255748,54486,New York,5,96.96875,147,37.816326000000004,46,34.304348,Private room,2010-10-06,11233,1,1.0,0,134,94,1578.0,16,0.0
50732175,11256815,Chicago,9,100.0,189,130.44974,27,142.22223,Entire home/apt,2016-02-12,60657,2,1.0,0,44,99,3840.0,8,1.0
17208491,15288294,Los Angeles,9,93.27273000000001,40,60.0,6,60.0,Private room,2016-09-28,90027,1,1.0,0,26,95,360.0,1,0.0
9761734,16106618,Dallas,8,100.0,84,90.0,0,0.0,Entire home/apt,2017-05-24,75219,1,1.0,1,2,90,0.0,0,0.0
32229230,8090426,New York,11,100.0,209,290.1579,66,290.78787,Entire home/apt,2015-08-26,10010,2,1.5,0,93,96,19192.0,9,0.0
19867664,18946416,New York,10,100.0,203,221.61577000000003,24,251.125,Entire home/apt,2017-07-29,11225,2,2.0,1,33,100,6027.0,9,1.0
143350584,20149977,Chicago,10,98.833336,202,77.24258,27,67.51852,Entire home/apt,2017-07-27,60640,1,1.0,0,27,91,1823.0,11,0.0
104007893,17340781,Miami,12,98.78260999999999,165,58.272728,47,57.23404300000001,Entire home/apt,2017-02-17,33126,1,1.0,1,134,97,2690.0,27,1.0
67041033,12495592,New York,7,100.0,152,210.23027000000002,42,224.30952000000002,Entire home/apt,2016-04-16,10019,2,1.0,1,34,92,9421.0,12,0.0
128902459,18566998,Chicago,9,92.0,221,48.30317,23,50.391304,Private room,2017-05-03,60653,2,1.0,1,21,97,1159.0,7,1.0
94877519,20033323,New York,12,96.870964,92,129.53261,52,129.92308,Entire home/apt,2017-08-11,10031,2,2.0,0,21,86,6756.0,8,0.0
570988,690934,New York,11,100.0,157,539.6496599999999,48,550.0,Entire home/apt,2012-09-09,11217,5,3.5,0,130,98,26400.0,8,1.0
43427041,15557662,Miami,6,97.455696,223,75.56054,21,63.66666800000001,Entire home/apt,2016-10-16,33305,0,1.0,1,1,100,1337.0,4,1.0
13667825,6090148,Chicago,12,100.0,37,75.18918599999999,31,77.548386,Private room,2015-04-19,60616,1,1.0,1,177,92,2404.0,13,1.0
287122,1365000,New York,9,100.0,197,150.7665,48,150.625,Entire home/apt,2013-07-08,11205,2,1.0,0,112,93,7230.0,6,0.0
